19:31:32 RUNNING: 18 games, 425 positions, 4194 ranked moves
19:31:37 RUNNING: 19 games, 429 positions, 4234 ranked moves
19:31:42 RUNNING: 19 games, 434 positions, 4284 ranked moves
19:31:47 RUNNING: 19 games, 439 positions, 4334 ranked moves
19:31:52 RUNNING: 19 games, 443 positions, 4374 ranked moves
19:31:57 RUNNING: 19 games, 446 positions, 4404 ranked moves
19:32:02 RUNNING: 19 games, 449 positions, 4434 ranked moves
19:32:07 RUNNING: 20 games, 454 positions, 4476 ranked moves
19:32:12 RUNNING: 20 games, 458 positions, 4516 ranked moves
19:32:17 RUNNING: 20 games, 462 positions, 4556 ranked moves
19:32:22 RUNNING: 20 games, 467 positions, 4606 ranked moves
19:32:32 RUNNING: 20 games, 471 positions, 4646 ranked moves
19:32:37 RUNNING: 21 games, 475 positions, 4686 ranked moves
19:32:42 RUNNING: 21 games, 479 positions, 4726 ranked moves
19:32:47 RUNNING: 21 games, 484 positions, 4776 ranked moves
19:32:52 RUNNING: 21 games, 488 positions, 4816 ranked moves
19:32:57 RUNNING: 21 games, 491 positions, 4846 ranked moves
19:33:02 RUNNING: 22 games, 495 positions, 4884 ranked moves
19:33:07 RUNNING: 22 games, 500 positions, 4934 ranked moves
19:33:12 RUNNING: 22 games, 504 positions, 4974 ranked moves
19:33:17 RUNNING: 22 games, 508 positions, 5014 ranked moves
19:33:22 RUNNING: 22 games, 512 positions, 5054 ranked moves
19:33:27 RUNNING: 22 games, 515 positions, 5084 ranked moves
19:33:32 RUNNING: 22 games, 518 positions, 5114 ranked moves
19:33:37 RUNNING: 23 games, 522 positions, 5154 ranked moves
19:33:42 RUNNING: 23 games, 527 positions, 5204 ranked moves
19:33:47 RUNNING: 23 games, 531 positions, 5244 ranked moves
19:33:52 RUNNING: 23 games, 534 positions, 5274 ranked moves
19:33:57 RUNNING: 23 games, 538 positions, 5314 ranked moves
19:34:02 RUNNING: 24 games, 541 positions, 5344 ranked moves
19:34:07 RUNNING: 24 games, 545 positions, 5384 ranked moves
19:34:12 RUNNING: 24 games, 549 positions, 5424 ranked moves
19:34:17 RUNNING: 24 games, 553 positions, 5464 ranked moves
19:34:22 RUNNING: 24 games, 557 positions, 5504 ranked moves
19:34:27 RUNNING: 24 games, 561 positions, 5544 ranked moves
19:34:32 RUNNING: 25 games, 565 positions, 5584 ranked moves
19:34:37 RUNNING: 25 games, 569 positions, 5624 ranked moves
19:34:42 RUNNING: 25 games, 573 positions, 5664 ranked moves
19:34:47 RUNNING: 25 games, 577 positions, 5704 ranked moves
19:34:52 RUNNING: 25 games, 580 positions, 5734 ranked moves
19:34:57 RUNNING: 26 games, 584 positions, 5766 ranked moves
19:35:02 RUNNING: 26 games, 588 positions, 5806 ranked moves
19:35:07 RUNNING: 26 games, 592 positions, 5846 ranked moves
19:35:12 RUNNING: 26 games, 596 positions, 5886 ranked moves
19:35:17 RUNNING: 26 games, 600 positions, 5926 ranked moves
19:35:22 RUNNING: 26 games, 603 positions, 5956 ranked moves
19:35:27 RUNNING: 27 games, 607 positions, 5996 ranked moves
19:35:32 RUNNING: 27 games, 612 positions, 6046 ranked moves
19:35:37 RUNNING: 27 games, 616 positions, 6086 ranked moves
19:35:42 RUNNING: 27 games, 620 positions, 6126 ranked moves
19:35:47 RUNNING: 27 games, 623 positions, 6156 ranked moves
19:35:52 RUNNING: 27 games, 626 positions, 6186 ranked moves
19:35:57 RUNNING: 28 games, 630 positions, 6223 ranked moves
19:36:02 RUNNING: 28 games, 634 positions, 6263 ranked moves
19:36:07 RUNNING: 28 games, 638 positions, 6303 ranked moves
19:36:12 RUNNING: 28 games, 642 positions, 6343 ranked moves
19:36:17 RUNNING: 28 games, 646 positions, 6383 ranked moves
19:36:22 RUNNING: 29 games, 650 positions, 6423 ranked moves
19:36:27 RUNNING: 29 games, 654 positions, 6463 ranked moves
19:36:32 RUNNING: 29 games, 658 positions, 6503 ranked moves
19:36:37 RUNNING: 29 games, 663 positions, 6553 ranked moves
19:36:42 RUNNING: 29 games, 667 positions, 6593 ranked moves
19:36:47 RUNNING: 29 games, 670 positions, 6623 ranked moves
19:36:52 RUNNING: 30 games, 675 positions, 6665 ranked moves
19:36:57 RUNNING: 30 games, 679 positions, 6705 ranked moves
19:37:02 RUNNING: 30 games, 684 positions, 6755 ranked moves
19:37:07 RUNNING: 30 games, 688 positions, 6795 ranked moves
19:37:12 RUNNING: 30 games, 692 positions, 6835 ranked moves
19:37:17 RUNNING: 30 games, 694 positions, 6855 ranked moves
19:37:22 RUNNING: 31 games, 699 positions, 6905 ranked moves
19:37:27 RUNNING: 31 games, 703 positions, 6945 ranked moves
19:37:32 RUNNING: 31 games, 708 positions, 6995 ranked moves
19:37:37 RUNNING: 31 games, 712 positions, 7035 ranked moves
19:37:42 RUNNING: 31 games, 716 positions, 7075 ranked moves
19:37:47 RUNNING: 32 games, 720 positions, 7115 ranked moves
19:37:52 RUNNING: 32 games, 725 positions, 7165 ranked moves
19:37:57 RUNNING: 32 games, 729 positions, 7205 ranked moves
19:38:02 RUNNING: 32 games, 734 positions, 7255 ranked moves
19:38:07 RUNNING: 32 games, 738 positions, 7295 ranked moves
19:38:12 RUNNING: 33 games, 741 positions, 7325 ranked moves
19:38:17 RUNNING: 33 games, 746 positions, 7375 ranked moves
19:38:23 RUNNING: 33 games, 750 positions, 7415 ranked moves
19:38:28 RUNNING: 33 games, 755 positions, 7465 ranked moves
19:38:33 RUNNING: 33 games, 760 positions, 7515 ranked moves
19:38:38 RUNNING: 33 games, 763 positions, 7545 ranked moves
19:38:43 RUNNING: 34 games, 767 positions, 7584 ranked moves
19:38:48 RUNNING: 34 games, 772 positions, 7634 ranked moves
19:38:53 RUNNING: 34 games, 776 positions, 7674 ranked moves
19:38:58 RUNNING: 34 games, 781 positions, 7724 ranked moves
19:39:03 RUNNING: 34 games, 784 positions, 7754 ranked moves
19:39:08 RUNNING: 34 games, 788 positions, 7794 ranked moves
19:39:13 RUNNING: 35 games, 792 positions, 7834 ranked moves
19:39:18 RUNNING: 35 games, 796 positions, 7874 ranked moves
19:39:23 RUNNING: 35 games, 801 positions, 7924 ranked moves
